fold,h,order,seasonal_order,mape_val,aicc,bic,lb_pvalue,RMSE,MAE,MAPE,sMAPE,RegionName
20,6,"(0, 2, 2)","(1, 0, 0, 12)",0.3165475062449855,2742.3987606367814,2754.6181403616365,1.3266146217981604e-08,6868.693433177613,4826.05408925307,0.6229226509693676,0.6196437246499577,"San Francisco, CA"
20,12,"(0, 2, 2)","(1, 0, 0, 12)",0.3165475062449855,2742.3987606367814,2754.6181403616365,1.3266146217981604e-08,32054.321543915874,24132.11434034882,3.1103711539572547,3.027973777764376,"San Francisco, CA"
21,3,"(2, 2, 1)","(0, 1, 1, 12)",0.28548393769047153,2705.892711858076,2720.7708543918243,1.7258430965339275e-17,10399.924183170328,8834.107359274718,1.1360031413323513,1.1271393133792542,"San Francisco, CA"
21,6,"(2, 2, 1)","(0, 1, 1, 12)",0.28548393769047153,2705.892711858076,2720.7708543918243,1.7258430965339275e-17,23983.617636740102,20248.70732618298,2.6150936683219674,2.5680133944727084,"San Francisco, CA"
21,12,"(2, 2, 1)","(0, 1, 1, 12)",0.28548393769047153,2705.892711858076,2720.7708543918243,1.7258430965339275e-17,41400.07596584185,36754.31577834578,4.689862421929944,4.555249725175531,"San Francisco, CA"
22,3,"(2, 2, 2)","(1, 1, 1, 12)",0.7403231503256671,2691.166179807256,2711.930686961548,1.2163332334807205e-18,628.6879465251885,591.9790580137633,0.07648356946043643,0.07645062231342388,"San Francisco, CA"
22,6,"(2, 2, 2)","(1, 1, 1, 12)",0.7403231503256671,2691.166179807256,2711.930686961548,1.2163332334807205e-18,5559.607092186562,3584.744510279852,0.4599673000180324,0.4624850438923553,"San Francisco, CA"
22,12,"(2, 2, 2)","(1, 1, 1, 12)",0.7403231503256671,2691.166179807256,2711.930686961548,1.2163332334807205e-18,27406.350535671074,19975.659326973506,2.483316427562139,2.5422755310861302,"San Francisco, CA"
23,3,"(0, 2, 0)","(1, 1, 0, 12)",1.9158457338738042,2827.132561904361,2833.255546176942,9.120234544627986e-09,6214.252890188029,5092.352763201537,0.6528503405073771,0.6560312039550156,"San Francisco, CA"
23,6,"(0, 2, 0)","(1, 1, 0, 12)",1.9158457338738042,2827.132561904361,2833.255546176942,9.120234544627986e-09,15600.504868688882,12928.871516826834,1.629259355223761,1.6486979141713067,"San Francisco, CA"
23,12,"(0, 2, 0)","(1, 1, 0, 12)",1.9158457338738042,2827.132561904361,2833.255546176942,9.120234544627986e-09,40331.21911785601,32897.78185834479,4.037999089827949,4.1633898749713065,"San Francisco, CA"
24,3,"(0, 2, 2)","(1, 1, 1, 12)",3.2960752882913433,2803.042986196618,2818.1891565554906,9.743539403648291e-12,4183.721173499545,3650.5800376398643,0.4569967386182262,0.45563522010009283,"San Francisco, CA"
24,6,"(0, 2, 2)","(1, 1, 1, 12)",3.2960752882913433,2803.042986196618,2818.1891565554906,9.743539403648291e-12,5735.545210830181,5287.73989423116,0.6550479577077388,0.6525418270213811,"San Francisco, CA"
24,12,"(0, 2, 2)","(1, 1, 1, 12)",3.2960752882913433,2803.042986196618,2818.1891565554906,9.743539403648291e-12,5378.325204123336,4772.73761181414,0.5809945233819503,0.5801195318046497,"San Francisco, CA"
25,3,"(0, 2, 2)","(0, 1, 1, 12)",3.501322778880528,2867.798654588233,2880.0360794258695,3.845514867851684e-18,7168.087038683621,6166.158019705287,0.7572969249835482,0.76118287861442,"San Francisco, CA"
25,6,"(0, 2, 2)","(0, 1, 1, 12)",3.501322778880528,2867.798654588233,2880.0360794258695,3.845514867851684e-18,16773.771577758467,14140.145044006213,1.7188806255504114,1.7398487964586387,"San Francisco, CA"
25,12,"(0, 2, 2)","(0, 1, 1, 12)",3.501322778880528,2867.798654588233,2880.0360794258695,3.845514867851684e-18,38238.97642900152,32265.914151320507,3.7674970645732655,3.8681404451360972,"San Francisco, CA"
26,3,"(2, 2, 1)","(1, 1, 1, 12)",0.13354600632665614,2935.812147537603,2954.1871475839885,8.123950673438418e-17,1112.6995574341113,1070.131609841017,0.12973168843532615,0.12964085333801192,"San Francisco, CA"
26,6,"(2, 2, 1)","(1, 1, 1, 12)",0.13354600632665614,2935.812147537603,2954.1871475839885,8.123950673438418e-17,2654.207216623956,1914.1690114481414,0.22647033072762196,0.22686578369951008,"San Francisco, CA"
26,12,"(2, 2, 1)","(1, 1, 1, 12)",0.13354600632665614,2935.812147537603,2954.1871475839885,8.123950673438418e-17,12344.838099911949,9015.249205450576,1.010016935664284,1.0194400038491656,"San Francisco, CA"
27,3,"(2, 2, 1)","(1, 1, 0, 12)",3.3129173009864767,2984.1924007565376,2999.651166421334,4.523838973242599e-17,2915.4395701070293,2439.411914261834,0.2863450232020026,0.28692861342005865,"San Francisco, CA"
27,6,"(2, 2, 1)","(1, 1, 0, 12)",3.3129173009864767,2984.1924007565376,2999.651166421334,4.523838973242599e-17,6084.136637559465,5226.778405897358,0.5981638803394294,0.600572498877084,"San Francisco, CA"
27,12,"(2, 2, 1)","(1, 1, 0, 12)",3.3129173009864767,2984.1924007565376,2999.651166421334,4.523838973242599e-17,14613.986138695374,12267.808052877275,1.3543185878836668,1.367277040081036,"San Francisco, CA"
28,3,"(2, 2, 2)","(1, 1, 0, 12)",0.5627343318043119,3039.2922352555483,3057.888743286691,8.219320716659851e-12,1624.8301508510087,1316.537340750491,0.14864204883171553,0.1484747417102064,"San Francisco, CA"
28,6,"(2, 2, 2)","(1, 1, 0, 12)",0.5627343318043119,3039.2922352555483,3057.888743286691,8.219320716659851e-12,1871.961104141891,1483.376403001467,0.1658637271774064,0.1656453039393181,"San Francisco, CA"
28,12,"(2, 2, 2)","(1, 1, 0, 12)",0.5627343318043119,3039.2922352555483,3057.888743286691,8.219320716659851e-12,14914.698574035816,8929.626798437102,0.9697406837975227,0.9569184558299428,"San Francisco, CA"
29,3,"(0, 2, 0)","(1, 1, 1, 12)",2.99502153888371,3131.2393716785305,3140.700015630216,1.480737124347875e-09,3993.6174633175615,3288.885391508617,0.3609461014038322,0.36190658562550865,"San Francisco, CA"
29,6,"(0, 2, 0)","(1, 1, 1, 12)",2.99502153888371,3131.2393716785305,3140.700015630216,1.480737124347875e-09,4126.836871507655,3386.5237128037843,0.36999601789489495,0.371012244645216,"San Francisco, CA"
29,12,"(0, 2, 0)","(1, 1, 1, 12)",2.99502153888371,3131.2393716785305,3140.700015630216,1.480737124347875e-09,30229.888222931353,19568.285054843163,2.1314988078739825,2.0798180518634024,"San Francisco, CA"
30,3,"(0, 2, 1)","(0, 1, 1, 12)",0.11689672239584863,3165.741453145629,3175.2369683524903,5.545505714623791e-18,7441.810851232347,6168.122810089689,0.669977776942986,0.6667311052500413,"San Francisco, CA"
30,6,"(0, 2, 1)","(0, 1, 1, 12)",0.11689672239584863,3165.741453145629,3175.2369683524903,5.545505714623791e-18,22955.309655729838,18133.92460104563,1.9640892628900088,1.9337711435750975,"San Francisco, CA"
30,12,"(0, 2, 1)","(0, 1, 1, 12)",0.11689672239584863,3165.741453145629,3175.2369683524903,5.545505714623791e-18,71032.09943429194,56603.48691790607,6.187629320048565,5.900925728250975,"San Francisco, CA"
31,3,"(2, 2, 2)","(1, 1, 1, 12)",0.5694499154354941,3165.920659303785,3187.8788681436336,1.4998273547463575e-21,3327.6504122991896,2402.090407686696,0.26004687590666953,0.2594058188071992,"San Francisco, CA"
31,6,"(2, 2, 2)","(1, 1, 1, 12)",0.5694499154354941,3165.920659303785,3187.8788681436336,1.4998273547463575e-21,15106.71317683826,11302.676212237217,1.2321024504762854,1.2186776225352516,"San Francisco, CA"
31,12,"(2, 2, 2)","(1, 1, 1, 12)",0.5694499154354941,3165.920659303785,3187.8788681436336,1.4998273547463575e-21,26786.15715524718,22965.285425798345,2.514436493134342,2.4721288621164033,"San Francisco, CA"
32,3,"(2, 2, 1)","(1, 1, 0, 12)",0.5019533164749954,3237.5958266811517,3253.492322209587,4.2180523828630233e-19,4252.763676070203,3845.9916015388444,0.419816833186058,0.4187406430239116,"San Francisco, CA"
32,6,"(2, 2, 1)","(1, 1, 0, 12)",0.5019533164749954,3237.5958266811517,3253.492322209587,4.2180523828630233e-19,5984.82800442475,5573.80554095322,0.61077399188167,0.6086281866953606,"San Francisco, CA"
32,12,"(2, 2, 1)","(1, 1, 0, 12)",0.5019533164749954,3237.5958266811517,3253.492322209587,4.2180523828630233e-19,4550.592651494936,3622.996401159306,0.3968334067255265,0.3955988750038957,"San Francisco, CA"
33,3,"(2, 2, 1)","(1, 1, 0, 12)",1.6349208701297593,3282.8985022448105,3298.8781792441987,1.553931711517631e-19,670.9863506942543,566.72965124719,0.062252841792597866,0.06222568913672122,"San Francisco, CA"
33,6,"(2, 2, 1)","(1, 1, 0, 12)",1.6349208701297593,3282.8985022448105,3298.8781792441987,1.553931711517631e-19,3627.6606982121766,2545.2371693440364,0.27847982556946027,0.27924165361981834,"San Francisco, CA"
33,12,"(2, 2, 1)","(1, 1, 0, 12)",1.6349208701297593,3282.8985022448105,3298.8781792441987,1.553931711517631e-19,5075.476733253188,4212.054448627004,0.4567804968398003,0.45828048390104575,"San Francisco, CA"
34,3,"(2, 2, 1)","(1, 1, 0, 12)",5.054953653421496,3338.469315997036,3354.530829014575,9.849834769233906e-20,5499.706072223596,5074.66022404714,0.5550539878076881,0.5568680186037976,"San Francisco, CA"
34,6,"(2, 2, 1)","(1, 1, 0, 12)",5.054953653421496,3338.469315997036,3354.530829014575,9.849834769233906e-20,5166.137646325654,4890.209373436461,0.5336619282404816,0.5352566797291011,"San Francisco, CA"
34,12,"(2, 2, 1)","(1, 1, 0, 12)",5.054953653421496,3338.469315997036,3354.530829014575,9.849834769233906e-20,6206.001183846808,5477.65011284802,0.5909339030110362,0.5931714288274165,"San Francisco, CA"
35,3,"(2, 2, 2)","(1, 1, 1, 12)",2.514436493134342,3349.1181266483086,3371.5488002306643,2.779838434102792e-17,1630.7356388285789,1613.775925075325,0.17560971110815093,0.1754523945344011,"San Francisco, CA"
35,6,"(2, 2, 2)","(1, 1, 1, 12)",2.514436493134342,3349.1181266483086,3371.5488002306643,2.779838434102792e-17,4251.183235996139,2994.0127075278433,0.32219447306838006,0.3230797354867741,"San Francisco, CA"
